ITS_ID,HOF_ID,Full_Name,Passoport Number,Visa Number,Passport Expiry Date,Date of Birth
20370640,,Fazela bai Saifuddin bhai Halai,ZNDLAC0K,EVWI5NWTIT,01/09/2030,07/07/2031
30924560,,Irtiza Hussain bhai Mohammed bhai Afzal,QKTOD839,OJ43OFHSNE,05/02/2031,03/08/2027
40496817,,Tasneem bai Irtiza Hussain bhai Afzal,O1837RKN,P00PEJTO4J,04/01/2026,19/10/2024
30912611,,Ali bhai Sohail bhai Kisat,LDNYNILH,KZT1EDRDKO,16/03/2029,01/02/2033
60404429,,Ibrahim bhai Mustansir bhai Ghatila,JSN7FDAL,JBQTLS8MW1,08/03/2029,08/03/2028
40481578,,Rabab bai Ali bhai Kisat,54CZSVOC,14CHZY9E74,12/02/2033,30/06/2031
20353026,20353026,Owais bhai Akberali bhai Pardawala,WNL7FK06,CSD7FY7G4J,26/01/2032,10/08/2025
30460915,20353026,Munira bai Owais bhai Pardawala,4H26PUTO,JOW1EMX2OK,07/02/2034,17/08/2034
20354438,20354438,Munavarhusain bhai Yahya bhai Quettawala,X9HR90MH,1V6PYLJFA7,06/01/2034,04/10/2026
60427030,20354438,Sakina bai Munavarhusain bhai Quettawala,AOYCEVTT,EENUBCZQ8U,05/11/2027,06/05/2025
60404249,20354551,Fizza bai Taherali bhai Jeevanjee,LR572ZUJ,W45692UOS9,02/06/2031,25/09/2030
20354551,20354551,Irfanali bhai Ehsan bhai Shahjahanpurwala,3HBGE93H,I1PAUB6CXI,30/09/2024,04/05/2029
30460926,20354551,Raeqah bai Irfanali bhai Shahjahanpurwala,3984G0RJ,J8WZKUNLYD,23/01/2031,15/11/2024
30460901,20354551,Hasan bhai Irfanali bhai Shahjahanpurwala,X5TPZ2BW,E4TXJMUVR3,16/06/2031,10/05/2029
50444395,20354551,Ibrahim bhai Irfanali bhai Shahjahanpurwala,SUZQG44H,RO0BW4Z3GA,14/08/2031,20/12/2033
20364840,20364840,Amirali bhai Abdullah bhai Rampurawala,QUJH4OC8,C7MZY8VQJQ,22/10/2034,13/05/2031
20364949,20364949,Ali Asgar bhai Abdulhusain bhai Gainya,M68U4483,B9JYLK7D7S,15/01/2027,03/01/2029
30928580,20364949,Abbas bhai Aliasgar bhai Gainya,9FXK28C8,6TKO5NWOQM,23/04/2030,04/02/2028
20366417,20366417,Miqdad bhai Mulla Yaqub bhai Madhwala,FUPOPY1D,3WDHCIGD6W,27/04/2027,05/06/2030
